state,year,atr,atr_top5,atr_top1,atr_top5nw,atr_top1nw,rs,beta
SC,2005,4.600574434957144,6.319737136544525,6.425389691782626,6.174088846171004,6.244464076334812,0.8527570682431151,5.660428775305954
SC,2006,4.626972384003168,6.3655432739586715,6.488296462869878,6.222095392923122,6.303683359543045,0.8584827014657681,5.692357793099523
SC,2007,4.631190471290073,6.366668729293778,6.489858040567434,6.225931400311444,6.305795274038062,0.8587722628146333,5.6979199477707985
SC,2008,4.672433851320804,6.405916018440554,6.5532615567431955,6.269736175393216,6.362483481760623,0.8591427034916888,5.7278385239125065
SC,2009,4.548591811943093,6.37060697095669,6.54522897876348,6.237014409043067,6.349296052333693,0.887928597681209,5.7488388878971355
SC,2010,4.575395702718637,6.399017079524024,6.605104667056204,6.269404275755129,6.3977626141992365,0.8891139625889499,5.770813056108797
SC,2011,4.609659384316214,6.408836248602626,6.60800765804077,6.281112837339462,6.403971769278211,0.8838645615280694,5.785610032609947
SC,2012,4.611397906780184,6.410669311500505,6.608583992249982,6.283479094712761,6.4041595335182855,0.884389148083875,5.7884867052229305
SC,2013,4.579070496091093,6.342258107657354,6.444702826433868,6.202559613853467,6.266213666455989,0.8760506238737142,5.749210165379277
SC,2014,4.587066164607609,6.344826833949154,6.445666677942355,6.206051549102182,6.2679591497462885,0.8752038435609344,5.753729202500821
SC,2015,4.572756944823263,6.3416736179988265,6.445732306998529,6.203381315710362,6.2672287176715615,0.8779508078792353,5.749076507379339
SC,2016,4.5829956117327555,6.345164089654326,6.445778907195981,6.2063838180212745,6.26831542265521,0.8766662729728925,5.753826873415827
SC,2017,4.614232796655445,6.3528969627326815,6.447691753934406,6.216558246316645,6.273019000248571,0.871272301285031,5.766350235671995
SC,2018,4.489915595524402,6.341991803992499,6.544097906790529,6.216785979526325,6.357091257370523,0.9039387885174222,5.732408106032674
SC,2019,4.482107765880901,6.339567200177634,6.5430342855717205,6.21534010865095,6.3564223510144355,0.905605088517758,5.72754140785018
SC,2020,4.478314988445223,6.337386079640419,6.542077697624017,6.214090291608272,6.355768546478628,0.9053751626592055,5.722880217700986
SC,2021,4.540156810303654,6.353082710436376,6.548191917482669,6.233563460596491,6.3651905104030675,0.8951125291652096,5.787319648682196
SD,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
